ENTRY	SHORT DEF	LONGER DEF	FIRST OCCURRENCE	NUM OCCURRENCES	POS
"querela querelae f."	"querēla querēlae f."	"complaint"	"complaint"	" 93"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#querela"	"1927"
"questus –us m."	"questus –ūs m."	"complaining; moaning; groans"	"a complaining; moaning; groans; mournful sound (> queror)"	"16"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#questus"	"4087"
"quies quietis f."	"quiēs quiētis f."	"rest"	"quiet, calm, rest, peace; sleep"	" 110"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#quies"	"749"
"quini –ae –a"	"quīnī –ae –a"	"5 each"	"5 each"	" 169"	"1"	"Number"	"Logeion"	"http://logeion.uchicago.edu/index.html#quini"	"3913"
"quinquaginta; quinquagesimus –a –um"	"quīnquāgintā; quīnquāgēsimus –a –um"	"50; 50th"	"50; 50th"	" 192"	"1"	"Number"	"Logeion"	"http://logeion.uchicago.edu/index.html#quinquaginta;"	"2145"
"quodsi"	"quodsī"	"but if"	"but if"	" 90"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#quodsi"	"1859"
"quot"	"quot"	"how many , as many as (undeclinable)"	"how many , as many as (undeclinable)"	" 164"	"3"	"Pronoun"	"Logeion"	"http://logeion.uchicago.edu/index.html#quot"	"1557"
"radius radi(i) m."	"radius radi(ī) m."	"ray; beam"	"spoke of a wheel, stick"	"158"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#radius"	"1631"
"rapidus –a –um"	"rapidus –a –um"	"swift"	"swift, quick"	" 476"	"3"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#rapidus"	"1303"
"raptus –us m."	"raptus –ūs m."	"robbery, plunder; abduction"	"robbery, plunder; abduction"	"286"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#raptus"	"5290"
"ratis ratis f."	"ratis ratis f."	"raft"	"raft; (in poetry) a ship"	" 164"	"5"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#ratis"	"1631"
"re-gemo –ere"	"re-gemō –ere"	"to groan"	"to resound with sighs or groans "	"286"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#re-gemo"	"11140"
"re-moneo –ere"	"re-moneō –ēre"	"to warn again"	"to warn again, remind"	" 151"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#re-moneo"	"11140"
"recludo –ere –clusi –clusus"	"reclūdō –ere –clūsī –clūsus"	"to unclose; to open"	"to unclose; to open, freq.; throw open; reveal, disclose; unsheathe; cut or lay open (> re and claudo)"	" 728"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#recludo"	"2938"
"recordor recordari recordatus sum"	"recordor recordārī recordātus sum"	"to remember"	"to remember, recollect"	"146"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#recordor"	"2859"
"recreo recreare recreavi recreatum"	"recreō recreāre recreāvī recreātum"	"to restore, revive, refresh, cheer"	"to restore, revive, refresh, cheer"	" 742"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#recreo"	"3297"
"rector –oris m."	"rēctor –ōris m."	"director"	"a director, leader, ruler; general, commander; guide; helmsman, pilot (> rego)"	"899"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#rector"	"3211"
"recurro –ere –curri –cursus"	"recurrō –ere –currī –cursus"	"to run back; return"	"to run back; return, revolve"	" 313"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#recurro"	"5645"
"recuso recusare recusavi recusatus"	"recūsō recūsāre recūsāvī recūsātus"	"to refuse"	"to refuse, reject"	" 275"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#recuso"	"1464"
"redimio –imire –imii –imitum"	"redimiō –imīre –imiī –imītum"	"to encircle (with a garland)"	"to encircle (with a garland)"	" 863"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#redimio"	"3767"
"reduco reducere reduxi reductus"	"redūcō redūcere redūxī reductus"	"to bring back"	"to lead back, back, roll back; bring back; restore; reduce"	"473"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#reduco"	"778"
"regnator –oris m."	"rēgnātor –ōris m."	"one who reigns; sovereign"	"one who reigns; sovereign, lord (> regno)"	" 345"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#regnator"	"4957"
"relevo relevare relevavi relevatus"	"relevō relevāre relevāvī relevātus"	"to lighten, relieve"	"to lighten, relieve, alleviate"	" 687"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#relevo"	"5290"
"remex –igis m."	"rēmex –igis m."	"an oarsman"	"an oarsman, a rower; a band of oarsmen, crew, oarsmen (> remus and ago)"	" 170"	"3"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#remex"	"4475"
"reminiscor reminisci —"	"reminīscor reminīscī —"	"to call to mind; recall"	"to call to mind; recall, remember, think of (> re and rt. men, cf. memini)"	" 1041"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#reminiscor"	"4957"
"remitto remittere remisi remissum"	"remittō remittere remīsī remissum"	"to send back"	"to send back, release; absolve"	" 741"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#remitto"	"850"
"remus remi m."	"rēmus rēmī m."	"oar"	"oar"	" 1065"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#remus"	"1221"
"renovo renovare renovavi renovatus"	"renovō renovāre renovāvī renovātus"	"to restore, refresh, renew"	"to restore, refresh, renew"	" 102"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#renovo"	"2780"
"reparo reparare –avi –atum"	"reparō reparāre –āvī –ātum"	"restore, repair"	"to get again, acquire anew, recover, retrieve, restore, repair, renew"	" 900"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#reparo"	"3025"
"repello repellere reppuli repulsum"	"repellō repellere reppulī repulsum"	"to drive back"	"to drive back, repel"	" 288"	"5"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#repello"	"1394"
"repleo –ere –plevi –pletus"	"repleō –ēre –plēvī –plētus"	"to fill up"	"to fill again; fill up, fill"	" 299"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#repleo"	"1631"
"reporto reportare reportavi reportatus"	"reportō reportāre reportāvī reportātus"	"to carry back"	"to bear back, bring again, carry back"	" 1045"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#reporto"	"2371"
"reposco reposcere"	"reposcō reposcere"	"to ask again"	"to demand back, ask again"	" 343"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#reposco"	"3211"
"reprimo reprimere repressi repressus"	"reprimō reprimere repressī repressus"	"to restrain"	"to restrain, stop, check"	"62"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#reprimo"	"3127"
"requies –etis or ei f."	"requiēs –ētis or ēī f."	"repose"	"repose, rest; respite; support, comfort; cessation"	" 112"	"3"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#requies"	"2603"
"resideo residere resedi ressus"	"resideō residēre resēdī ressus"	"to remain"	"to remain, persist"	"106"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#resideo"	"3501"
"resisto resistere restiti"	"resistō resistere restitī"	"to pause"	"to pause; continue; resist, oppose; reply; withstand, stand (+ dat.); make a stand"	" 1060"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#resisto"	"904"
"resolvo –ere –solvi –solutus"	"resolvō –ere –solvī –solūtus"	"to untie"	"to untie, loosen, unbind; break apart; dispel; of the lips, open; of the body, relax, unbend, extend; of separation of body and spirit, dissolve, separate, release; unravel, disclose; break, viola"	" 685"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#resolvo"	"2022"
"resono resonare resonavi resonatus"	"resonō resonāre resonāvī resonātus"	"to resound"	"to sound again, resound, ring, reecho"	" 771"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#resono"	"2477"
"responsum responsi n."	"respōnsum respōnsī n."	"answer"	"answer"	"146"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#responsum"	"1484"
"resto restare restiti"	"restō restāre restitī"	"to resist"	"to remain, resist"	" 697"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#resto"	"1994"
"resumo –sumere –sumpsi –sumptum"	"resūmō –sūmere –sūmpsī –sūmptum"	"to take up again, resume"	"to take up again, take back, resume"	" 924"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#resumo"	"7186"
"resupinus –a –um"	"resupīnus –a –um"	"bent back"	"bent back; lying extended on the back; supine, thrown backwards; stretched out"	" 375"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#resupinus"	"5645"
"retorqueo –torquere –torsi –tortum"	"retorqueō –torquēre –torsī –tortum"	"to twist back, bend back"	"to twist back, bend back"	" 67"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#retorqueo"	"4957"
"retro"	"retrō"	"backwards"	"backwards"	"303"	"3"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#retro"	"1429"
"revello –ere –velli –vulsus"	"revellō –ere –vellī –vulsus"	"to pull back; pluck out"	"to pull back; pluck out, tear out or off; rend, rip, tear open; snatch, bring away, rescue; disturb, violate"	"452"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#revello"	"3398"
"revincio –ire –vinxi –vinctus"	"revinciō –īre –vinxī –vinctus"	"to bind back"	"to bind back; bind fast; bind around, wreathe, festoon"	" 540"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#revincio"	"4475"
"rigeo –ere"	"rigeō –ēre"	"to be stiff, stiffen"	"to be stiff, stiffen"	"302"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#rigeo"	"3634"
"rigidus –a –um"	"rigidus –a –um"	"hard, rigid, strict"	"hard, rigid, strict"	" 300"	"5"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#rigidus"	"2603"
"rigo rigare rigavi rigatus"	"rigō rigāre rigāvī rigātus"	"to moisten"	"to moisten, wet, bedew; bespatter, stain"	" 366"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#rigo"	"2938"
"rimor –atus sum"	"rīmor –ātus sum"	"to force open in cracks or chinks; (fig.)"	"to force open in cracks or chinks; (fig.), to ransack, explore, search (> rima)"	" 300"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#rimor"	"5290"
"rivus –i m."	"rīvus –ī m."	"brook, stream"	"brook, stream"	" 955"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#rivus"	"1719"
"robur roboris n."	"rōbur rōboris n."	"oak"	"oak, strength"	" 180"	"6"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#robur"	"1100"
"robustus –a –um"	"rōbustus –a –um"	"strong"	"strong"	" 802"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#robustus"	"3501"
"rogus rogi m."	"rogus rogī m."	"funeral pyre"	"funeral pyre"	"47"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#rogus"	"2477"
"roseus –a –um"	"roseus –a –um"	"rosy"	"rosy"	" 867"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#roseus"	"3025"
"rostrum rostri n."	"rōstrum rōstrī n."	"beak, prow, speaker's platform"	"beak, prow, speaker's platform"	"4"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#rostrum"	"2371"
"rota rotae f."	"rota rotae f."	"wheel"	"wheel"	" 514"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#rota"	"1656"
"rudo –ere –ivi –itus"	"rudō –ere –īvī –ītus"	"to send forth a loud"	"to send forth a loud, rough sound; bellow, roar, of men; of beasts; of the roaring sound of the rushing water (p. gen. pl., rudentum)"	"1067"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#rudo"	"6575"
"ruina ruinae f."	"ruīna ruīnae f."	"collapse"	"fall; catastrophe; collapse (of a building), destruction"	" 234"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#ruina"	"1429"
"ruo ruere rui rutum"	"ruō ruere ruī rūtum"	"to rush"	"to rush; fall, collapse"	" 46"	"14"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#ruo"	"567"
"rupes –is f."	"rūpēs –is f."	"rock"	"a rock, cliff, crag, ledge, freq.; quarry (> rumpo)"	"888"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#rupes"	"1522"
"saepio –ire –saepsi –saeptus"	"saepiō –īre –saepsī –saeptus"	"to fence in; inclose"	"to fence in; inclose, surround; envelop (> saepes, inclosure)"	" 791"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#saepio"	"2654"
"saetiger –era –erum"	"saetiger –era –erum"	"bristle–bearing"	"bristle–bearing, bristly (> saeta and gero)"	" 595"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#saetiger"	"5645"
"saevio saevire saevii saevitum"	"saeviō saevīre saeviī saevitum"	"to rage"	"to act savagely, rage"	" 779"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#saevio"	"1596"
"sagitta sagittae f."	"sagitta sagittae f."	"arrow"	"arrow"	" 671"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#sagitta"	"872"
"saltem"	"saltem"	"at least"	"at least"	"1036"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#saltem"	"2603"
"sanguineus –a –um"	"sanguineus –a –um"	"bloody, bloodshot"	"of blood; bloodshot; of bloody color or aspect, bloody; fiery, bloody; ruddy, burnished; bloodthirsty (> sanguis)"	" 783"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#sanguineus"	"2718"
"satio satiare satiavi satiatum"	"satiō satiāre satiāvī satiātum"	"to satisfy sate"	"to satisfy, sate"	" 997"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#satio"	"2654"
"satus –a –um"	"satus –a –um"	"begotten of"	"begotten of, born of, sprung from, with abl.; offspring, son of; daughter of (> sero, serere, sevi, satus)"	" 198"	"4"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#satus"	"5290"
"saucius –a –um"	"saucius –a –um"	"wounded; afflicted; drunk"	"wounded; afflicted; drunk"	" 526"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#saucius"	"2554"
"scalae –arum f."	"scālae –ārum f."	"ladder; scaling ladder"	"a ladder; scaling ladder (> scando)"	" 764"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#scalae"	"4087"
"scando scandere scandi scansus"	"scandō scandere scandī scānsus"	"to climb"	"to mount, climb, ascent"	" 770"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#scando"	"4251"
"scapulae arum f "	"scapulae ārum f "	"the shoulder-blades, shoulders"	"the shoulder-blades, shoulders"	"381"	"3"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#scapulae"	"6575"
"scelero scelerare sceleravi sceleratus"	"scelerō scelerāre scelerāvī scelerātus"	"to commit a crime"	"to commit a crime, pollute"	"557"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#scelero"	"3127"
"sceptriger –era –erum"	"sceptriger –era –erum"	"scepter-bearing"	"scepter-bearing, eptieph of Agamemnon"	"8"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#sceptriger"	"11140"
"sceptrum –i n."	"scēptrum –ī n."	"royal staff; scepter"	"a royal staff; scepter; freq.; (meton.), rule, sway, power, royal court, realm; authority"	"140"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#sceptrum"	"2371"
"scindo scindere scidi scissum"	"scindō scindere scidī scissum"	"to cut, rend, tear asunder"	"to cut, rend, tear asunder"	" 846"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#scindo"	"1631"
"scrutor scrutari scrutatus sum"	"scrūtor scrūtārī scrūtātus sum"	"examine thoroughly, search"	"to ransack, search carefully, examine thoroughly, explore, search, examine"	"701"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#scrutor"	"3297"
"seco secare secui sectum"	"secō secāre secuī sectum"	"to cut"	"to cut; cleave a path through (the sea), traverse"	" 28"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#seco"	"1193"
"secus"	"secus"	"otherwise, differently, not so, the contrary"	"otherwise, differently, not so, the contrary"	" 491"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#secus"	"2477"
"sedo sedare sedavi sedatus"	"sēdō sēdāre sēdāvī sēdātus"	"to soothe"	"to calm down, soothe"	"145"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#sedo"	"3767"
"segnis segne"	"sēgnis sēgne"	"slow"	"slow, sluggish"	" 619"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#segnis"	"1892"
"senecta –ae f."	"senecta –ae f."	"old age"	"old age"	"36"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#senecta"	"2477"
"senectus senectutis f."	"senectūs senectūtis f."	"old age"	"old age; extreme age; senility; old men; gray hairs; shed snake skin"	" 1020"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#senectus"	"1951"
"senex senis"	"senex senis"	"old, aged"	"old, aged"	" 151"	"3"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#senex"	"687"
"senus –a –um"	"senus –a –um"	"six at a time"	"six in each instance, six at a time, in groups of six"	" 461"	"1"	"Number"	"Logeion"	"http://logeion.uchicago.edu/index.html#senus"	"5290"
"sepelio sepelire sepelii/sepelivi sepultum"	"sepeliō sepelīre sepeliī/sepelīvī sepultum"	"to bury"	"to bury"	" 730"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#sepelio"	"1673"
"septem; septimus –a –um"	"septem; septimus –a –um"	"7; 7th"	"7; 7th"	" 217"	"4"	"Number"	"Logeion"	"http://logeion.uchicago.edu/index.html#septem;"	"503"
"septemplex –icis"	"septemplex –icis"	"sevenfold"	"sevenfold"	"293"	"2"	"Number"	"Logeion"	"http://logeion.uchicago.edu/index.html#septemplex"	"7186"
"sero serere sevi satum"	"serō serere sēvī satum"	"to plant"	"to plant, sow"	"246"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#sero"	"1859"
"serpens –entis (gen. pl. serpentum) m./f."	"serpēns –entis (gen. pl. serpentum) m./f."	"creeping thing; snake"	"a creeping thing; snake, serpent (> serpo)"	"147"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#serpens"	"1237"
"serta –orum n."	"serta –ōrum n."	"things entwined; garlands"	"things entwined; garlands, festoons, wreaths (> sero, serere, serui, sertus)"	" 549"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#serta"	"4251"
"severus –a –um"	"sevērus –a –um"	"serious"	"stern, strict, severe; grave, austere; weighty, serious; unadorned, plain"	"879"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#severus"	"1745"
"sex; sextus –a –um"	"sex; sextus –a –um"	"6; 6th"	"6; 6th"	" 204"	"2"	"Number"	"Logeion"	"http://logeion.uchicago.edu/index.html#sex;"	"924"
"sidereus –a –um"	"sīdereus –a –um"	"starry"	"abounding in stars, starry; star–lighted; glittering, flashing (> sidus)"	" 471"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#sidereus"	"6092"
"silens –entis"	"silēns –entis"	"still"	"still, silent, noiseless, voiceless"	" 378"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#silens"	"3767"
"sileo silere silui"	"sileō silēre siluī"	"to be silent"	"to be slient; (transitive) be silent about"	" 823"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#sileo"	"1830"
"simulo simulare simulavi simulatus"	"simulō simulāre simulāvī simulātus"	"to imitate"	"to imitate, copy; pretend (to have/be); look like; simulate; counterfeit; feint"	" 831"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#simulo"	"1251"
"sinuosus –a –um"	"sinuōsus –a –um"	"full of windings; sinuous"	"full of windings; sinuous"	"436"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#sinuosus"	"6575"
"sisto sistere stiti status"	"sistō sistere stitī status"	"to set up"	"to stop, check; cause to stand; set up"	" 1063"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#sisto"	"1927"
"sitio sitire sitivi"	"sitiō sitīre sitīvī"	"to be thirsty"	"to be thirsty"	" 502"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#sitio"	"2654"
"sodalis sodalis m."	"sodālis sodālis m."	"comrade"	"comrade"	" 676"	"4"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#sodalis"	"2065"
"solacium solaci(i) n."	"sōlācium sōlāci(ī) n."	"comfort"	"comfort, consolation"	"14"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#solacium"	"2145"
"sollemnis –e"	"sollemnis –e"	"customary"	"annual, stated, established, appointed"	"13"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#sollemnis"	"2477"
"sollers sollertis"	"sollers sollertis"	"skilled, expert"	"skilled, expert"	" 144"	"3"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#sollers"	"3634"
"sollertia –ae f. "	"sollertia –ae f. "	"skill, shrewdness"	"skill, shrewdness, ingenuity, dexterity, adroitness, expertness"	" 204"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#sollertia"	"6092"
"solor –atus sum"	"sōlor –ātus sum"	"to console"	"to solace, console; assuage, comfort, aid, relieve; console one's self for"	"73"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#solor"	"3025"
"solutus –a –um "	"solūtus –a –um "	"unbound, free"	"unbound, free, loose, at large, unfettered, unbandaged"	"337"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#solutus"	"4251"
"sopio sopire sopivi sopitum"	"sōpiō sōpīre sōpīvī sōpītum"	"to put to sleep, lull to sleep"	"to put to sleep, lull to sleep"	" 116"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#sopio"	"3297"
"sopor –oris m."	"sopor –ōris m."	"sleep; sound"	"sleep; sound, deep slumber; personified"	"121"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#sopor"	"2477"
"speciosus –a –um"	"speciōsus –a –um"	"handsome, beautiful"	"good-looking, showy, handsome, beautiful, splendid, brilliant"	" 582"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#speciosus"	"4957"
"sperno spernere sprevi spretum"	"spernō spernere sprēvī sprētum"	"to reject"	"to reject, spurn"	"26"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#sperno"	"1631"
"spiculum –i n."	"spīculum –ī n."	"sharp point, sting, arrow"	"sharp point, sting, arrow"	"439"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#spiculum"	"2654"
"splendidus –a –um"	"splendidus –a –um"	"shining, clear, brilliant, splendid"	"shining, clear, brilliant, splendid"	" 304"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#splendidus"	"2220"
"spolio spoliare spoliavi spoliatus"	"spoliō spoliāre spoliāvī spoliātus"	"to strip"	"to strip, despoil"	"379"	"4"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#spolio"	"1596"
"spumo spumare spumavi spumatus"	"spūmō spūmāre spūmāvī spūmātus"	"to foam"	"to foam (> spuma)"	" 597"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#spumo"	"2022"
"squalidus –a –um"	"squālidus –a –um"	"rough; filthy"	"rough; filthy"	" 28"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#squalidus"	"6092"
"squama –ae f."	"squāma –ae f."	"scale of fishes"	"a scale of fishes, serpents, etc.; of the small plates or scales of armor; singular as a collective, scales"	" 348"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#squama"	"4251"
"sterno sternere stravi stratus"	"sternō sternere strāvī strātus"	"to spread"	"to spread, strew, scatter; lay out; knock down; cause winds or waves to subside; (passive in middle sense) lie stretched out"	" 356"	"12"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#sterno"	"974"
"stimulo stimulare stimulavi stimulatus"	"stimulō stimulāre stimulāvī stimulātus"	"to spur; to rouse"	"to spur; to rouse, urge; infuriate, incite (> stimulus)"	" 397"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#stimulo"	"4475"
"stomachus –i m."	"stomachus –ī m."	"the gullet; chest"	"the gullet; chest, stomach; bad temper"	" 513"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#stomachus"	"3297"
"strideo stridere and strido stridere stridi"	"strīdeō strīdēre and strīdō strīdere strīdī"	"to produce a grating or shrill sound; to creak"	"to produce a grating or shrill sound; to creak; gurgle; rustle; whiz, roar; hiss; twang"	"296"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#strideo"	"2288"
"stringo stringere strinxi strictum"	"stringō stringere strīnxī strictum"	"to draw tight, bind fast; draw (from a scabbard, etc.)"	"to draw tight; bind fast; strip (i.e. leaves from a tree); draw (from a scabbard, etc.)
"	"413"	"9"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#stringo"	"1330"
"struo struere struxi structus"	"struō struere strūxī strūctus"	"to construct"	"to build, construct"	" 647"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#struo"	"2249"
"suadeo suadere suasi suasus"	"suādeō suādēre suāsī suāsus"	"to recommend"	"to urge, recommend; suggest; induce; propose, persuade, advise"	" 327"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#suadeo"	"1447"
"subduco –ducere –duxi –ductum"	"subdūcō –dūcere –dūxī –ductum"	"to draw up, raise; remove, take away"	"to draw up, raise; remove, take away"	" 545"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#subduco"	"1745"
"subicio subicere subieci subiectus"	"subiciō subicere subiēcī subiectus"	"to throw under, put up for auction"	"to throw under, place under; put up for auction; make subject; expose"	"309"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#subicio"	"1411"
"sublimis sublime"	"sublīmis sublīme"	"elevated lofty heroic noble"	"elevated, lofty, heroic, noble; (of breathing) shallow, panting"	" 496"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#sublimis"	"1830"
"sublustris –e"	"sublūstris –e"	"faintly gleaming, lurid"	"faintly gleaming, lurid (> sub and cf. lux)"	" 700"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#sublustris"	"9174"
"subvenio subvenire subveni subventum"	"subveniō subvenīre subvēnī subventum"	"to aid"	"to support, aid"	" 973"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#subvenio"	"3211"
